AssetName,AssetCode,InvestmentStrategy,AcquisitionType,AcquisitionDate,SaleDate,IsTaxCredit,ActualStabilizationDate,AreaType,AssetClass,AssetStyle,StabilizationStatus,OccupancyStabilizationDate,AxiometricsMSAID,AxiometricsSubMarketID,CoStarSubMarketID,CBSAID,oslPropertyID,oslSubPropertyID,AverageBuildYear,YearBuiltEnd,YearRenovated,CurrentUnitCount,RentableSquareFoot,ConstructionBeginDate,ConstructionEndDate,Acreage,AcquisitionPrice,TotalHardCosts,TotalSoftAndClosingCosts,TotalProjectCosts,IsSeniorHousing,IsUnitReno,IsRecapitalization,ZipCode,Latitude,Longitude,WebAddress,EmailAddress,osaEntityID,Phone,Address1,PlannedUnitCount,LegalName,TaxID,Portfolio,City,StateCode
"Cortland Woodlands","corw30067","Value-add","Acquisition",2024-11-20 00:00:00.0000000,,False,2024-12-20 00:00:00.0000000,"Suburban","B","Garden-style","Stabilized",2024-12-20 00:00:00.0000000,12060,25,6713,12060,5409845,2190,1983.000000,1983,,484,587250,,,,95750000,,,,False,False,False,"30067-5352",33.922212,-84.472350,"www.cortland.com/woodlands","woodlands@cortland.com","woodlands","(470) 912-1634","2850 Delk Rd SE",484,"Delk Road GA Partners, LLC","33-1497368","Stand-alone","Marietta","GA"
"Cortland Portico","poroef30096","Core-Plus","Acquisition",2018-12-14 00:00:00.0000000,2024-04-25 00:00:00.0000000,False,,"Suburban","B","Garden-Style","Non-Stabilized",,12060,32,6718,12060,3755899,1106,2002.000000,2002,2017,440,536800,,,45.5,83500000,254232,774877.78705825901,84529109.787058294,False,True,True,"30096-8830",33.945818,-84.151123,"cortland.com/portico","portico@cortland.com","centuryparkoef","(404) 999-4234","2110 Preston Park Dr",,,,"CGI","Duluth","GA"
"Cortland Mirror Lake","barml32703","Value-Add","Acquisition",2016-01-15 00:00:00.0000000,2020-02-28 00:00:00.0000000,False,2020-08-14 00:00:00.0000000,"Infill","B","Garden-Style","Stabilized",2020-08-14 00:00:00.0000000,36740,7,7500,36740,3835765,399,1990.000000,1990,,740,629020,2016-03-31 00:00:00.0000000,2018-07-31 00:00:00.0000000,82.469999999999999,74650000,22195405.8653,2822258.534,99667664.399299994,False,True,False,"32703-6183",28.665374,-81.437510,"cortland.com/mirror-lake","mirrorlake@cortland.com","barrington","(407) 554-4575","700 Post Lake Pl",,"Post Lake FL Partners, LLC","47-5632175","Portfolio 16","Apopka","FL"
"Portofino Place 2","porpgs233409","Value-Add","Acquisition",2021-12-29 00:00:00.0000000,,False,2021-01-16 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2021-01-16 00:00:00.0000000,48424,4,7624,33100,4058263,1705,2006.000000,2006,,396,451115,2017-01-31 00:00:00.0000000,2019-01-31 00:00:00.0000000,,108923378.426671,1189308,1101737,111214422.3,False,False,True,"33409-7888",26.743250,-80.109240,"cortland.com/portofino-place","portofinoplace@cortland.com","portofino2gs","(561) 944-7961","4400 Portofino Way",,"WPB Multifamily Owner I, LLC","47-2874463","Stand-alone","West Palm Beach","FL"
"Battery 1st Base","bat1b30339","Core-Plus","Acquisition",2018-10-09 00:00:00.0000000,,False,2024-01-05 00:00:00.0000000,"Suburban","A","Mid-Rise","Stabilized",2024-01-05 00:00:00.0000000,12060,24,6713,12060,4405678,1081,2017.000000,2017,,211,177747,2018-10-31 00:00:00.0000000,2020-04-30 00:00:00.0000000,,62068173.258003801,1301876.33058174,1578609.1030622399,64948658.691647701,False,False,False,"30339-3008",33.889162,-84.470535,"www.cortlandatthebatteryatl.com","thebattery@cortland.com","battery1","(404) 777-0375","900 Battery Ave SE",,,,"Stand-alone","Atlanta","GA"
"West M - Commercial","wesmc70605","Opportunistic","Acquisition",2010-05-20 00:00:00.0000000,2017-08-01 00:00:00.0000000,False,,"Suburban","A","Garden-Style","Non-Stabilized",,29340,,,29340,,,,,,,,,,,,,,,False,False,False,,30.177600,-93.239810,,,,,,,,,"West M. - Commercial",,
"Fountain Wood","foun76039","Value-Add","Acquisition",2019-09-27 00:00:00.0000000,2021-04-01 00:00:00.0000000,False,2022-11-24 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2022-11-24 00:00:00.0000000,23104,10,7523,19100,4559203,1237,1986.000000,1986,,288,228900,,,13.640000000000001,37954210.077178702,6705567.4833737696,1998150.8705071099,46657928.431059599,False,True,False,"76039-4683",32.866198,-97.068478,"cortland.com/fountainwood","fountainwood@cortland.com","fountainwood","(817) 799-8945","750 E Mid Cities Blvd",,"FOUNTAIN WOOD APTS LLC","46-3311466","Portfolio 22","Euless","TX"
"Cortland Peachtree Battle","corpb30305","Value-add","Acquisition",2024-08-20 00:00:00.0000000,,False,,"Urban","A","High-rise","Non-Stabilized",,12060,7,6709,12060,5383437,2161,2015.000000,2015,,186,167586,,,,50000000,6484304,2925902,59410206,False,False,False,"30305-4167",33.820899,-84.388878,"cortland.com/peachtree-battle","peachtreebattledistro@cortland.com","ptbattle","(770) 697-0276","2420 Peachtree Rd NW",186,"Peachtree Road GA Partners, LLC","99-4355024","Stand-alone","Atlanta","GA"
"Cortland at Twin Creeks","lantcB75013","Value-Add","Acquisition",2021-11-03 00:00:00.0000000,,False,2022-09-24 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2022-09-24 00:00:00.0000000,19124,30,7506,19100,4559210,1649,2002.000000,2002,,288,276708,,,18.579999999999998,57797254,4882209,794375,63473838,False,True,False,"75013-6325",33.108459,-96.688488,"cortland.com/twin-creeks","twincreeks@cortland.com","twincreeksbro","(972) 694-6166","505 Benton Dr",,"PURE LANSBROOK APTS LLC","81-4843839","Portfolio 22","Allen","TX"
"Cortland Lincoln Station","arcls80124","Core-Plus","Acquisition",2020-01-07 00:00:00.0000000,2023-08-16 00:00:00.0000000,False,2020-12-28 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2020-12-28 00:00:00.0000000,19740,18,7797,19740,4611379,1328,2019.000000,2019,,232,201502,2020-02-29 00:00:00.0000000,2021-04-30 00:00:00.0000000,,72848000,510000,1427915.1127305599,74785915.112730607,False,False,False,"80124-6870",39.542264,-104.871633,"cortland.com/lincoln-station","LincolnStation@cortland.com","lincolnstation","(303) 799-4427","10346 Park Meadows Dr",,,,"CGI","Lone Tree","CO"
"Cortland Seven Meadows","sovc77494","Core-Plus","Acquisition",2017-12-19 00:00:00.0000000,,False,2018-01-18 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2018-01-18 00:00:00.0000000,26420,21,6846,26420,4266916,692,2015.000000,2015,,300,317228,2017-12-31 00:00:00.0000000,2017-01-31 00:00:00.0000000,,45572539,411255,1710479,47694273,False,True,False,"77494-6961",29.701137,-95.783870,"www.cortland.com/seven-meadows","sevenmeadows@cortland.com","sovereigncinco","(281) 767-8740","6800 Gaston Rd",,"DD Gaston Partners LLC","90-0914242","Portfolio 20","Katy","TX"
"Cortland Northlake","norsu43074","Core-Plus","Acquisition",2020-12-17 00:00:00.0000000,,False,2021-08-25 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2021-08-25 00:00:00.0000000,18140,9,8012,18140,4721957,1449,2019.000000,2019,,252,280986,2020-12-31 00:00:00.0000000,2021-11-30 00:00:00.0000000,,43750000,2845818.4679011502,3290357.44162247,49886175.909523599,False,False,False,"43074-7620",40.270002,-82.934068,"cortland.com/northlake","northlake@cortland.com","northlakesummit","(740) 279-3222","7205 Northlake Summit Dr",,"Northlake Summit LLC","83-2495528","CGI","Sunbury","OH"
"Cortland Farmers Market","attfm75201","Opportunistic","Development",2018-01-31 00:00:00.0000000,,False,2023-06-30 00:00:00.0000000,,,,"Stabilized",2023-06-30 00:00:00.0000000,19124,1,7509,19100,4593129,1412,,,,220,200134,,2020-11-27 00:00:00.0000000,,4724379.7800000003,40685000,8198994.2353059798,53608374.015306003,True,True,False,"75201",32.777057,-96.790672,"cortland.com/farmers-market","farmersmarketapts@cortland.com","attivafarmersmkt","(972) 962-9097","1011 HARWOOD ST",220,,,"Stand-alone","DALLAS","TX"
"The Garratt","rems43081","Value-Add","Acquisition",2017-05-02 00:00:00.0000000,2021-07-01 00:00:00.0000000,False,2019-05-10 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-05-10 00:00:00.0000000,18140,9,8020,18140,4169076,613,1990.000000,1990,,344,481280,,2018-10-31 00:00:00.0000000,24.010000000000002,35700000,11787775,1568995,49056770,False,True,False,"43081-6724",40.085390,-82.890846,"www.liveatthegarratt.com","thegarratt@cortlandpartners.com","remington","(614) 891-1413","5415 Turtle Station Way",,"Turtle Station OH Partners LLC","82-0884668","Ohio Admiral Portfolio","Westerville","OH"
"Brooksedge","brook43068","Value-Add","Acquisition",2014-09-30 00:00:00.0000000,,False,2023-08-17 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2023-08-17 00:00:00.0000000,18140,10,8015,18140,3388191,231,1999.000000,1999,,224,221088,2017-09-30 00:00:00.0000000,2018-07-31 00:00:00.0000000,18.73,11500000,1261239.5,2549814.0800000001,15311053.58,False,True,False,"43068-9432",39.924153,-82.804660,"http://www.brooksedgeapts.com","brooksedge@cortland.com","brooksedge","(380) 208-0619","2870 Kengary Way",,"Kengary Way OH Partners, LLC","47-0985841","Parkwood-Ohio","Reynoldsburg","OH"
"Cortland Estates at TPC","puret78261","Core-Plus","Acquisition",2019-09-27 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2019-10-27 00:00:00.0000000,41700,13,7583,41700,4559220,1244,2007.000000,2007,,344,390592,,,34.759999999999998,55905347.933854602,2648479.584336,406654.72608266002,58960482.244273297,False,False,False,"78261-3031",29.654187,-98.426442,"cortland.com/estates-at-tpc","EstatesTPC@cortland.com","estatestpc","(210) 817-5480","22800 Bulverde Rd",,"PURE MTPC APTS LLC","81-1281124","Portfolio 22","San Antonio","TX"
"Cortland at the Hammocks - Phase 1","hampl33196","Value-Add","Acquisition",2021-08-24 00:00:00.0000000,,False,2024-06-02 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2024-06-02 00:00:00.0000000,33124,7,7610,33100,4870693,1596,1986.000000,1986,,296,291736,,,,86755142,13114272.356968099,2840147.1002139598,102709561.45718201,False,True,False,"33196-3201",25.668807,-80.442082,"cortland.com/hammocks","Hammocks@cortland.com","hammocks","(786) 481-3897","15280 SW 104th St",,"SW 104th FL Partners, LLC ","81-0793405 ","Stand-alone","Miami","FL"
"Cortland on the River","corontheriv83712","Core-plus","Acquisition",2022-06-07 00:00:00.0000000,,False,2023-07-25 00:00:00.0000000,"Suburban","A","Mid-rise","Stabilized",2023-07-25 00:00:00.0000000,14260,1,8529,14260,4988126,1824,2021.000000,2021,,237,192397,,,,105000000,2174150,1211293,108385443,False,True,False,"83712-7794",43.604768,-116.191756,"www.cortland.com/on-the-river","ontheriver@cortland.com","river","(208) 328-5944","749 E Park Blvd",,,,"CGI","Boise","ID"
"Boulevard at Deer Park","bouldp77536","Value-Add","Acquisition",2019-09-27 00:00:00.0000000,2023-06-01 00:00:00.0000000,False,2019-10-27 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-10-27 00:00:00.0000000,26420,30,6861,26420,4559201,1235,2000.000000,2000,,216,201804,,,12.23,38394297.817945197,6610790.3565094303,512798.70099340403,45517886.8754481,False,True,False,"77536-4996",29.680917,-95.126155,"www.cortland.com/boulevard-at-","Boulevardatdeerpark@cortland.com","deerpark","(281) 715-1000","401 W Pasadena Blvd",,"DEER PARK APTS LLC","46-2886988","Portfolio 22","Deer Park","TX"
"Tramore Village","cortv30106","Value-add","Acquisition",2022-05-19 00:00:00.0000000,,False,2022-06-18 00:00:00.0000000,"Suburban","B","Garden-style","Stabilized",2022-06-18 00:00:00.0000000,12060,22,6713,12060,4971384,1798,1999.000000,1999,,324,348804,,,,,,,,False,True,False,"30106-8190",33.861428,-84.619019,"cortland.com/tramore-village","tramorevillage@cortland.com","austell","(678) 890-4035","2222 E West Connector",324,"RRE Tramore Village Holdings LLC","81-3506451","3rd Party Management","Austell","GA"
"Cortland Cotswold","reg28211","Value-Add","Acquisition",2015-01-30 00:00:00.0000000,2018-12-14 00:00:00.0000000,False,2023-12-09 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2023-12-09 00:00:00.0000000,16740,2,7780,16740,3519488,288,1986.000000,1986,,178,178276,2015-04-30 00:00:00.0000000,2016-12-31 00:00:00.0000000,15.16,18950000,4894035.0636,831072.45030000003,24675107.513900001,False,True,False,"28211-2445",35.178416,-80.791598,"cortland.com/cotswold","cotswold@cortland.com","regency","(704) 486-1929","4817 Water Oak Rd",,"Water Oak NC Partners, LLC","47-2484378","Portfolio 12","Charlotte","NC"
"Wyndsor Court","wyndsorc75002","Value-Add","Acquisition",2014-07-29 00:00:00.0000000,2018-01-12 00:00:00.0000000,False,2014-08-28 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2014-08-28 00:00:00.0000000,19124,30,7506,19100,3388232,209,2000.000000,2000,,280,243068,2015-02-28 00:00:00.0000000,2016-05-31 00:00:00.0000000,14.630000000000001,22300000,2090656.4199999999,815687.81999999995,25206344.239999998,False,True,False,"75002-3099",33.098622,-96.658875,"http://www.wyndsorcourt.com","wyndsorcourt@cortlandpartners.com","wyndsor","(972) 396-6000","301 S Jupiter Rd",,"AREG Jupiter TX Partners, LLC","47-0968771","Parkwood-Texas","Allen","TX"
"Cortland Pentagon City","corpc22202","Value-add","Acquisition",2022-05-17 00:00:00.0000000,,False,,"Urban","A","High-Rise","Non-Stabilized",,47900,9,6660,47900,4971410,1895,1999.000000,1999,,534,451440,,,,305200000,35422712,13178893,353801605,False,True,False,"22202-4729",38.862881,-77.053477,"cortland.com/pentagon-city","pentagoncity@cortland.com","pentagoncitywarba","(703) 775-1284","1221 S Eads St",534,"South Eads VA Partners LLC","85-2361889","Stand-alone","Arlington","VA"
"Highland Avenue","higa35205","Opportunistic",,2013-12-31 00:00:00.0000000,2017-06-22 00:00:00.0000000,False,,,,,"Non-Stabilized",,,,,,,,,,,,,,,,,,,,False,False,False,,,,,,,,,,,,"Stand-alone",,
"Cortland Halstead","hal77096","Value-Add","Acquisition",2013-06-27 00:00:00.0000000,2021-10-21 00:00:00.0000000,False,2017-05-02 00:00:00.0000000,"Infill","A","Mid-Rise/High-Rise","Stabilized",2017-05-02 00:00:00.0000000,26420,16,6850,26420,3011528,122,2004.000000,2004,,301,293475,2013-09-30 00:00:00.0000000,2016-07-31 00:00:00.0000000,5.3099999999999996,43494550,2667185.3700000001,1909259.75,48070995.119999997,False,True,False,"77096-2845",29.683164,-95.456895,"www.cortland.com/halstead","Halstead@cortland.com","halstead","(713) 667-5900","4620 N Braeswood Blvd",,"Braeswood Blvd Tx Partners, LLC","90-0962168","Portfolio 8","Houston","TX"
"Cortland Vesta","ves35205","Opportunistic","Development",2017-06-22 00:00:00.0000000,,False,2024-04-15 00:00:00.0000000,"Infill","A","High-rise","Stabilized",2024-04-15 00:00:00.0000000,13820,1,8744,13820,4506474,1217,2017.500000,2018,,318,267172,,2019-11-30 00:00:00.0000000,,3194761.75,64350250.994000003,16631552.483783901,84176565.227783903,False,True,False,"35205-4006",33.500181,-86.790953,"www.cortlandvesta.com/","vesta@cortland.com","vesta","(205) 287-8050","2173 Highland Ave S",,"Highland AL Partners, LLC",,"Sunbelt","Birmingham","AL"
"Clifton Ridge Townhomes","clifrt30062","Opportunistic","Acquisition",2011-01-07 00:00:00.0000000,2012-09-19 00:00:00.0000000,False,,"Suburban","B","Garden-Style","Non-Stabilized",,12060,28,6713,12060,,,1972.000000,1972,,,,,,,2584000,,,,False,False,False,,33.971388,-84.532082,,,,,,,,,"Stand-alone",,
"Cortland at Castle Hills","corch75056","Core-plus","Acquisition",2024-06-11 00:00:00.0000000,,False,,,"A","Mid-rise","Non-Stabilized",,19124,25,7528,19100,5354127,2144,2023.000000,2023,,300,260732,,,,73250000,1199139,1693481,76142619,False,False,False,"75056-7065",33.049103,-96.929771,"https://cortland.com/apartments/cortland-at-castle","castlehillsdistro@cortland.com","castlehills","(469) 751-4960","2040 E State Highway 121",300,"E SH 121 Business TX Partners, LP","99-3102906","Stand-alone","Lewisville","TX"
"Avalon on Montreal","avm30021","Opportunistic","Acquisition",2010-07-01 00:00:00.0000000,2021-06-25 00:00:00.0000000,True,2012-11-22 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2012-11-22 00:00:00.0000000,12060,14,6731,12060,2690754,10,1975.000000,1975,,168,235495,,,14.220000000000001,1050000,6284727.4409999996,2171552.7823000001,9506280.2233000007,False,True,False,"30021-1321",33.815194,-84.245269,"www.avalononmontreal.com","avalononmontreal@cortlandpartners.com","avamon","(404) 296-8516","1086 Montreal Rd",,"Cedar Pines, LLC","27-1712761","Portfolio Zero","Clarkston","GA"
"The Garratt","remsbre243081","Core-Plus","Acquisition",2021-07-01 00:00:00.0000000,2023-07-14 00:00:00.0000000,False,2019-05-10 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2019-05-10 00:00:00.0000000,18140,9,8020,18140,4169076,1545,1990.000000,1990,,344,481280,,,24.010000000000002,67000000,2602042.8525,968982,70571024,False,False,True,"43081-6724",40.085390,-82.890846,"www.liveatthegarratt.com","thegarratt@cortlandpartners.com","remingtonbre","(614) 891-1413","5415 Turtle Station Way",,,"86-3509372","Acorn 2","Westerville","OH"
"Battery 3rd Base","bat3b30339","Core-Plus","Acquisition",2018-10-09 00:00:00.0000000,,False,,"Suburban","A","Mid-Rise","Non-Stabilized",,12060,24,6713,12060,4405678,1083,2017.000000,2017,,81,81152,2018-10-31 00:00:00.0000000,2020-04-30 00:00:00.0000000,,23827118.644067802,499772.43022332201,606006.338142375,24932897.412433501,False,False,False,"30339-3008",33.888562,-84.469626,"www.cortlandatthebatteryatl.com","thebattery@cortland.com","battery3","(404) 777-0375","900 Battery Ave SE",,,,"Stand-alone","Atlanta","GA"
"Park West Family","avpf30318","Opportunistic","Development",2008-03-01 00:00:00.0000000,,True,2012-07-01 00:00:00.0000000,"Infill","B","Garden-Style","Stabilized",2012-07-01 00:00:00.0000000,12060,6,6751,12060,2690919,11,2009.000000,2009,,175,175030,,2012-04-30 00:00:00.0000000,12.15,2250000,0,75243.5579,2325243.5578999999,False,False,False,"30318-6071",33.776686,-84.478224,"www.cortland.com/park-west","parkwest@cortland.com","avaprkf","(404) 799-3131","2798 Peek Rd NW",,"Provenance at Hollowell Family, LP","34-2043137","Stand-alone","Atlanta","GA"
"Paseo at Bee Cave","pasbc78738","Value-Add","Acquisition",2017-07-28 00:00:00.0000000,,False,2018-12-29 00:00:00.0000000,"Suburban","B","Garden-Style","Stabilized",2018-12-29 00:00:00.0000000,12420,7,7565,12420,4216874,645,2007.000000,2007,,293,278583,,2018-06-30 00:00:00.0000000,,48500000,4774135,1827439,55101574,False,True,False,"78738-6640",30.301980,-97.933019,"www.liveatpaseoatbeecave.com","paseobeecave@cortland.com","paseo","(512) 877-9642","12531 Highway 71",,"WSH 71 TX Partners LLC","82-1903208","Stand-alone","Bee Cave","TX"
"Cortland Satori - Phase 2","cosa233782","Core-Plus","Acquisition",2021-04-08 00:00:00.0000000,2022-06-28 00:00:00.0000000,False,2022-11-24 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2022-11-24 00:00:00.0000000,45300,11,7909,45300,4910056,1726,2020.000000,2020,,171,168737,2021-04-30 00:00:00.0000000,2022-09-30 00:00:00.0000000,,68580000,795000,881550.95200000005,70256550.952000007,False,False,False,"33782-6151",27.849372,-82.678378,"cortland.com/satori","Satori@cortland.com","satori","(727) 306-2785","3110 Grand Ave",,"DD Gandy 12.98 LLC","83-2495528","3rd Party Management","Pinellas Park","FL"
"Cortland Biltmore Place","parcbre285016","Core-Plus","Acquisition",2021-05-07 00:00:00.0000000,,False,2019-10-27 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2019-10-27 00:00:00.0000000,38060,2,7840,38060,4559211,1513,2015.000000,2015,,152,125582,,,4.2999999999999998,38000000,1380999.159186,898019.36623877799,40279018.525424697,False,False,False,"85016-5707",33.496325,-112.022067,"cortland.com/biltmore-place","biltmoreplace@cortland.com","biltmorecbre","(602) 353-7909","4114 N 28th St",,"PURE PARK APTS LLC","82-1514686","Portfolio 22","Phoenix","AZ"
"Cortland Ridglea","corripp76116",,"Acquisition",,,False,,,,"Garden-Style","Non-Stabilized",,,,,,,,,,,,,,,,36525000,4201221.0669659097,669587.17255065101,41395808.239516497,False,False,False,,,,,,,,,,,,,,
"Cortland Powell","powgr43065","Core-plus","Acquisition",2020-12-17 00:00:00.0000000,,False,2021-08-16 00:00:00.0000000,"Suburban","A","Garden-Style","Stabilized",2021-08-16 00:00:00.0000000,18140,9,8012,18140,4721959,1448,2018.000000,2018,,308,382109,2020-12-31 00:00:00.0000000,2021-11-30 00:00:00.0000000,,70750000,3647312.2457005498,3818034.3297780701,78215346.575478598,False,False,False,"43065-5148",40.168670,-83.086510,"cortland.com/powell","powell@cortland.com","powellgrand","(614) 683-4937","3400 Club Way Ct",,"Powell Communities LLC","83-2495528","CGI","Powell","OH"
